Frame,Hydrogen,Donor,Acceptor(s),Donor-Hydrogen Distance,Hydrogen-Acceptor(s) Distance(s),Donor-Acceptor(s) Distance(s),Angle(A-H-D)
0,684,592,[605],0.9455370009071763,[2.248483127416971],[3.143650262655693],[157.6568674434043]
0,685,593,[604],0.9689374766821125,[2.085259937715678],[2.9713910015415888],[151.22602829476884]
0,686,594,,0.9612415448270413,,,
0,687,595,[606],0.9809693014097776,[2.0065837817079135],[2.952215548055161],[161.2060570656442]
0,688,596,[525],0.9297858749958985,[1.787409554213929],[2.7167122611655845],[177.72252853510054]
0,689,597,[524],0.9672468902833166,[1.900468498020867],[2.8662696457018333],[176.1516104159651]
0,690,598,[527],1.0098536651441798,[2.0333322111194496],[2.9666784944720086],[152.6277102706518]
0,691,599,[526],0.9538928046905459,[1.972823869583279],[2.817895868823193],[146.5020608902952]
0,692,596,,0.9500777512895664,,,
0,693,597,,0.9366745414216813,,,
0,694,598,,0.9752091268965483,,,
0,695,599,,0.9915379260560969,,,
0,696,600,[594],1.110680028039432,[1.3868078086328124],[2.491003047065795],[171.6893819007182]
0,697,601,[595],0.9899733511627897,[1.5138099400374327],[2.449662246522639],[155.58237144796135]
0,698,602,[592],1.0483970679769077,[1.5403004624783792],[2.56145611132356],[163.05011398916722]
0,699,603,[593],1.0780922220749176,[1.4354453533101283],[2.4898766171476336],[164.10191390396614]
0,700,600,[252],0.9819536780668826,[1.9819227454858557],[2.901266174439703],[154.91172185439257]
0,701,601,[253],0.9683213618034577,[1.914860670219484],[2.8581718255331547],[164.00362810777472]
0,702,602,[254],0.9705780749727722,[1.9792146622505398],[2.9093460299392997],[159.7708573212317]
0,703,603,[255],0.9603772915743909,[2.388991878188754],[3.23119487478107],[146.1529490337837]
0,704,604,[610],0.9675852464935444,[1.9679520974337885],[2.8810007380335327],[156.44903210682253]
0,705,605,[611],0.9866704770070049,[1.914942966625112],[2.8067560513856],[148.94882018876203]
0,706,606,[608],0.985290787826443,[1.8477587980476005],[2.8279646552437563],[172.79068579689994]
0,707,607,[609],0.972179899494849,[1.8947745008057508],[2.8250099711259486],[159.2598215381046]
