O index,O index,distance
214,568,2.641003631107493
214,600,2.780735454961765
215,215,0.0
215,309,2.6735197443838246
215,377,2.946004528204326
215,407,2.67127239388765
215,473,2.867187356651916
215,503,2.5808000748311586
215,569,2.7432582250956083
215,623,2.517245339550629
216,216,0.0
216,312,2.803999569292274
216,368,2.637918014480405
216,408,2.8252292450199925
216,464,2.636940522273989
216,506,2.798966927633714
216,560,2.5888710167790587
216,618,2.699185357269089
217,217,0.0
217,313,2.947034127098271
217,369,2.643733048801247
217,409,2.8175178849555667
217,465,2.5569352044011358
217,507,2.553163203335484
217,561,2.656165083757278
217,588,2.438918981204944
218,218,0.0
218,314,2.769886102063253
218,370,2.729499842875121
218,410,2.891739131402589
218,466,2.683613766463986
218,504,2.7262210932501563
218,562,2.5931907522522226
218,616,2.4656405511196953
219,219,0.0
219,315,2.7337144282148733
219,371,2.6820972918725015
219,411,2.9094709344754777
219,467,2.652668642764811
219,505,2.7537954908194004
219,563,2.5598220782186982
219,585,2.7375749276021777
220,220,0.0
220,318,2.848815771694879
220,374,2.685692512510049
220,412,2.7466390177900792
220,470,2.631794365475365
220,508,2.5540083703784218
220,566,2.6534006892814963
221,221,0.0
221,319,2.9418074953430584
221,375,2.7203096063139567
221,413,2.9520287673130534
221,471,2.667612440717837
221,509,2.7051316305015134
221,567,2.5199762222748125
221,577,2.472386375223325
222,222,0.0
222,316,2.8623865359070586
222,372,2.6645696253938387
222,414,2.892569372331405
222,468,2.7263689010823917
222,510,2.636568633613053
222,564,2.5616016531247445
223,223,0.0
223,317,2.9707975732910477
223,373,2.578724828282539
223,415,2.7244029353627623
223,469,2.6031849726983327
223,511,2.6527209879661307
223,565,2.6062408033524043
224,224,0.0
224,320,2.620536930583709
224,360,2.5642976699204048
224,416,2.6237674525528347
224,456,2.6568621314974687
224,512,2.5137057476349267
224,552,2.6745978932100822
225,225,0.0
225,321,2.592181749147526
225,361,2.5986224294975884
225,417,2.616145709688886
225,457,2.5474444482038856
225,513,2.6651309333983026
225,553,2.6498067629997255
226,226,0.0
226,322,2.794659510496289
226,362,2.6112461689408377
226,418,2.6702979276891887
226,458,2.638845717048484
226,514,2.551735751561974
226,554,2.626370238554519
227,227,0.0
227,323,2.590366698307833
227,363,2.689257305948772
227,419,2.584195345949875
227,459,2.661536654996886
227,515,2.438029291141698
227,555,2.616015841071154
228,228,0.0
228,324,2.6421115560167037
228,364,2.595079292618663
228,420,2.5991291583374863
228,460,2.8185418611823443
228,516,2.6057866000349468
228,556,2.4993418278764623
228,605,2.4632963950540385
229,229,0.0
229,325,2.55426014544382
229,365,2.672884165091826
229,421,2.7052982356102966
229,461,2.6490566838769474
229,517,2.6761196910980742
229,557,2.6630238400343766
230,230,0.0
230,326,2.675717064695537
230,366,2.73775915884957
230,422,2.550941050277464
230,462,2.5950952099249562
230,518,2.584882552815291
230,558,2.603843630991634
230,584,2.8945486905361633
231,231,0.0
231,327,2.7109367434846687
231,367,2.6752750006360344
231,423,2.7699181369272172
231,463,2.6726313962897392
231,519,2.680963282308715
231,559,2.649907137910389
232,232,0.0
232,252,2.8458323896329096
232,329,2.5320486725446116
232,356,2.676341648252294
232,424,2.606379582665893
232,452,2.692950606496125
232,521,2.5876128716385938
232,548,2.6682302777989158
233,233,0.0
233,328,2.636217215388078
233,357,2.823612550020138
233,425,2.6918457939243354
233,453,2.7617953730997353
233,520,2.6028078258481173
233,549,2.5560163451234335
234,234,0.0
234,331,2.686868172549122
234,358,2.6173759923306985
234,426,2.6828706089665113
234,454,2.639556265489073
234,523,2.6203963227431726
234,550,2.5557884011643166
235,235,0.0
235,330,2.7225938821165694
235,359,2.736933183199182
235,427,2.6422365342988345
235,455,2.6441817672693544
235,522,2.536636123605137
235,551,2.610533003911246
236,236,0.0
236,333,2.656811977877163
236,352,2.5706841883397438
236,428,2.570414008548959
236,448,2.6368157825073033
236,525,2.651765497371056
236,544,2.6143503082274573
237,237,0.0
237,332,2.5579953144297884
237,353,2.681048842829372
237,429,2.644614865075596
237,449,2.629435087757371
237,524,2.6807737327522547
237,545,2.6346833002555368
238,238,0.0
238,335,2.702564862479258
238,354,2.554502584504202
238,430,2.610490322158311
238,450,2.5848839482161994
238,527,2.573141138578975
238,546,2.6617295354841186
239,239,0.0
239,334,2.590770982832995
239,355,2.6435732161007586
239,431,2.634661925352703
239,451,2.566941700063425
239,526,2.680316145122222
239,547,2.602546692333734
240,240,0.0
240,304,2.753203058796634
240,360,2.728358788685638
240,416,2.7573161740878223
240,476,2.7329652253444006
240,508,2.5369395727799726
240,548,2.5469521166013522
241,241,0.0
241,305,2.5607641322450543
241,361,2.693079476336517
241,417,2.734917002503391
241,477,2.595671379212384
241,509,2.5780757821772102
241,549,2.5586884773695036
241,589,2.9154577512778017
242,242,0.0
242,306,2.608776834151267
242,362,2.678441262995657
242,418,2.722318730763901
242,478,2.6740215244834467
242,510,2.6193845187141904
242,550,2.569878647507102
243,243,0.0
243,307,2.7897184324301967
243,363,2.6547130589372876
243,419,2.62090448311473
243,479,2.7063376155957366
243,511,2.648276754078917
243,551,2.6738125323394075
244,244,0.0
244,312,2.591111001136928
244,352,2.649770834709583
244,428,2.6074282166358125
244,464,2.5758240304710394
244,500,2.537922019041809
244,556,2.6086618869985085
244,581,2.825630047026962
245,245,0.0
245,313,2.7042805037943625
245,353,2.733720892072908
245,429,2.595807088136624
245,465,2.643581472175596
245,501,2.6317928657914327
245,557,2.574859987546182
246,246,0.0
246,314,2.7339298759540753
246,354,2.5813457564632563
246,430,2.6787721573062178
246,466,2.7014225289723535
246,502,2.6150951947554084
246,558,2.5908353646621674
246,600,2.9691654393296676
247,247,0.0
247,315,2.6553025818520264
247,355,2.5777958364404996
247,431,2.60924140920955
247,467,2.690019804160232
247,503,2.6251756864617843
247,559,2.585284268939926
248,248,0.0
248,316,2.8231382006473917
248,364,2.579896845682337
248,420,2.613493704175762
248,468,2.659444553953536
248,496,2.647098759602454
248,544,2.619665691547029
249,249,0.0
249,317,2.710954580632186
249,365,2.7773929778225304
249,421,2.614450516620402
249,469,2.628791972432857
249,497,2.5961751128531017
249,545,2.6901862231921685
250,250,0.0
250,318,2.6770325896135336
250,366,2.574836474537828
250,422,2.523418337509903
250,470,2.685444995491881
250,498,2.5964822441083792
250,546,2.6085740368113197
251,251,0.0
251,319,2.6986112714076476
251,367,2.7024427888406017
251,423,2.640285298224893
251,471,2.6566612559805063
251,499,2.5498502650071035
251,547,2.6177653723372036
252,232,2.8458323896329096
252,252,0.0
252,308,2.58509040268205
252,356,2.6526689382356787
252,424,2.6212762120635116
252,472,2.7006249987946878
252,504,2.5787865306025406
252,552,2.7310912094074737
253,253,0.0
253,309,2.64563867425667
253,357,2.626490150084229
253,425,2.6963626959839155
253,473,2.654583029176479
253,505,2.5254324228826857
253,553,2.611055028360748
254,254,0.0
