Si index,O index,distance
34,426,1.645718083686898
34,523,1.5148618646875571
35,235,1.6394478191181452
35,330,1.6401869498326205
35,427,1.6022096469308025
35,522,1.6361410554840488
36,236,1.6579797420684697
36,333,1.596719322527333
36,428,1.613783519459136
36,525,1.5960054854333676
37,237,1.5634380240705823
37,332,1.5541616389076345
37,429,1.5880312564618468
37,524,1.6725335630520837
38,238,1.5868314198136872
38,335,1.62601330177807
38,430,1.576566251916462
38,527,1.5674685856371653
39,239,1.6478334902832985
39,334,1.6141688276811677
39,431,1.6005286097801994
39,526,1.6671798980297157
40,197,1.6399880992179634
40,336,1.609455936215155
40,432,1.5636898485660997
40,529,1.6018292252813342
41,196,1.6091762085553467
41,337,1.6526073438186422
41,433,1.6176553027898033
41,528,1.6013945472180913
42,199,1.6232547964246105
42,338,1.5759309102600179
42,434,1.5680376030129082
42,531,1.6453886616350921
43,198,1.6032994522353257
43,339,1.5978766001799618
43,435,1.5780349494448083
43,530,1.6502782738125774
44,192,1.6038606459291966
44,340,1.5600070308798528
44,436,1.5811962117577618
44,532,1.614209310198191
45,193,1.6073623381873592
45,341,1.6143649660862276
45,437,1.557452293811115
45,533,1.6815910884693444
46,194,1.685306579286772
46,342,1.5743827792705194
46,438,1.5659982520156217
46,534,1.5537224125544602
47,195,1.6260756256627027
47,343,1.6093809341389798
47,439,1.5807487551049342
47,535,1.6216901496928504
48,200,1.6256303871447002
48,344,1.6375228673928623
48,440,1.6173632336047743
48,536,1.5691521566024054
49,201,1.603058088630697
49,345,1.6397442578928496
49,441,1.6008653282502756
49,537,1.6071527281937603
50,202,1.6099135883704068
50,346,1.6307105414847598
50,442,1.5995365913069712
50,538,1.581563057856571
51,203,1.6514343730764074
51,347,1.556094880359156
51,443,1.6362158962153321
51,539,1.6160826650405575
52,205,1.6152515662553926
52,348,1.5776744704774648
52,444,1.594826791230968
52,541,1.6553789775181267
53,204,1.6236746968865703
53,349,1.6216000320558142
53,445,1.5844904706071448
53,540,1.574395521817576
54,207,1.5987364160266169
54,350,1.6510649704056097
54,446,1.564652161420988
54,543,1.6451865720844654
55,206,1.6192502260380208
55,351,1.6182664621324039
55,447,1.596816682317702
55,542,1.5919043471353003
56,236,1.6645272335275203
56,352,1.6155431834260505
56,448,1.581529775511219
56,544,1.564015057175462
57,237,1.6700723428823423
57,353,1.6180406992485616
57,449,1.586674984511096
57,545,1.5859260163596096
58,238,1.6098230323153035
58,354,1.5611719126823451
58,450,1.6068773155229308
58,546,1.6253962516067786
59,239,1.583918427798447
59,355,1.609011355468051
59,451,1.6508210621647947
59,547,1.5781150051434327
60,232,1.6449029510770774
60,356,1.6174596423775813
60,452,1.6253407802569744
60,548,1.5572373982147198
61,233,1.5994868726983498
61,357,1.6094538481442602
61,453,1.5893354647444282
61,549,1.619582049603344
62,234,1.6034828481004477
62,358,1.640513900717181
62,454,1.5381984881246784
62,550,1.6415719034312237
63,235,1.5851320818347445
63,359,1.6597048848767717
63,455,1.6149837244690415
63,551,1.585586992442773
64,224,1.6167414000848437
64,360,1.6266895549011717
64,456,1.5322241246159594
64,552,1.6353275365307716
65,225,1.5945020491165403
65,361,1.6410000466158317
65,457,1.5892004243956324
65,553,1.6277750518190748
66,226,1.6255523340017113
66,362,1.5782327634017037
66,458,1.5352513213313288
66,554,1.5990347606403037
67,227,1.5979533367302603
67,363,1.5970330416696443
67,459,1.5682023971375367
67,555,1.6203114145780322
68,228,1.653555083997212
68,364,1.5880675783324496
68,460,1.610215777075495
68,556,1.627149344813515
69,229,1.560598685802553
69,365,1.5900374709502336
69,461,1.6362929449711294
69,557,1.592419375787282
70,230,1.6286077733647373
70,366,1.6036138538791278
70,462,1.6451464849578936
70,558,1.5779154899137775
71,231,1.5778731333419702
71,367,1.6009496192351444
71,463,1.651046687816685
71,559,1.6122277238616922
72,216,1.675936200034322
72,368,1.5971044476508878
72,464,1.584242595110435
72,560,1.6176021614492815
73,217,1.6308067138667801
73,369,1.6669092287673413
73,465,1.5823051070071086
73,561,1.6211784943993992
74,218,1.5764053433455734
74,370,1.6197218156665683
74,466,1.5999640829912867
74,562,1.6422522128726067
75,219,1.5655061882459624
75,371,1.6575839441763638
75,467,1.65278040519602
75,563,1.6340897147492595
76,222,1.6293276373237768
76,372,1.571363184313753
76,468,1.6039709457874316
76,564,1.6117987879593905
77,223,1.6352345222994213
